Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
0,54.95,82.0,30.33,0.115,1.8,225.0,54.95,55.0,49.4
0,52.73,89.0,30.32,0.08832999999999999,1.8,315.0,52.73,52.7,49.5
0,51.29,91.0,30.3,0.15167,1.8,90.0,51.29,51.3,48.9
0,49.88,92.0,30.3,0.035,1.6,247.0,49.88,49.9,47.8
0,48.44,94.0,30.29,0.14833,2.1,292.0,48.44,48.4,46.9
0,47.72,95.0,30.27,0.165,1.8,292.0,47.72,47.7,46.3
0,47.33,96.0,30.26,0.08667000000000001,1.6,337.0,47.33,47.3,46.2
0,47.21,96.0,30.27,0.065,1.8,247.0,47.21,47.2,46.1
1,47.19,95.0,30.27,0.18,1.6,307.0,47.19,47.2,45.7
0,49.83,91.0,30.26,0.70167,3.7,315.0,49.83,49.8,47.3
0,56.62,81.0,30.25,1.76833,6.5,296.0,56.62,56.6,50.7
0,62.53,74.0,30.22,3.99833,12.8,271.0,62.53,62.5,54.1
0,64.06,72.0,30.2,5.67167,12.8,255.0,64.06,64.1,54.8
0,66.54,69.0,30.18,5.17833,15.4,284.0,66.54,66.5,55.9
0,66.85,70.0,30.14,6.48,16.8,273.0,66.85,66.9,56.8
0,67.08,72.0,30.11,6.6933300000000004,16.3,258.0,67.08,67.1,57.9
0,67.64,72.0,30.08,6.29667,16.1,203.0,67.64,67.6,58.4
0,67.33,73.0,30.06,6.473330000000001,21.5,258.0,67.33,67.3,58.3
0,66.35,78.0,30.05,6.805,20.1,243.0,66.35,66.4,59.2
0,66.04,82.0,30.03,5.37333,14.0,230.0,66.04,66.0,60.3
0,65.2,86.0,30.01,4.50333,12.4,268.0,65.2,65.2,60.8
1,65.11,88.0,29.99,5.40667,14.5,244.0,65.11,65.1,61.5
0,65.63,87.0,29.98,4.566669999999999,12.4,227.0,65.63,65.6,61.7
0,66.54,84.0,29.97,3.17,9.3,225.0,66.54,66.5,61.4
0,67.06,79.0,29.95,4.035,11.1,249.0,67.06,67.1,60.2
1,67.0,78.0,29.94,3.37,11.4,259.0,67.0,67.0,59.9
